"Baseball Team Name","Affiliate: Baseball Team Name","Capacity","Conference","Division","Established","League","Photo","Photo Color","Stadium Address","Stadium Location (Latitude)","Stadium Location (Longitude)","Stadium"
"Kansas City Royals","","37903","American League","AL Central","1969","MLB","Royals/Royals-Logo.png","#004488","1 Royal Way, Kansas City, MO 64129","39.052","-94.480","Kauffman Stadium"
"Kingsport Mets","New York Mets","2500","Appalachian League","West","1921","R","Mets/Kingsport-Logo.jpg","#034c91","800 Granby Rd, Kingsport, TN 37660","36.563","-82.598","Hunter Wright Stadium"
"Lake County Captains","Cleveland Indians","6157","Midwest League","Eastern","1991","A","Indians/Captains-Logo.png","#003155","35300 Vine St, Eastlake, OH 44095","41.641","-81.436","Lake County Captains"
"Lake Elsinore Storm","San Diego Padres","7866","California League","South","1994","A+","Padres/Storm-Logo.png","#345452","500 Diamond Dr, Lake Elsinore, CA 92530","33.654","-117.303","Storm Stadium"
"Lakeland Flying Tigers","Detroit Tigers","8500","Florida State League","North","1960","A+","Tigers/FlyingTigers-Logo.png","#273e6c","2301 Lakeland Hills Blvd, Lakeland, FL 33805","28.075","-81.951","Joker Marchant Stadium"
"Lakewood BlueClaws","Philadelphia Phillies","8000","South Atlantic League","Northern","2001","A","Phillies/BlueClaws-Logo.png","#002b5c","2 Stadium Way, Lakewood, NJ 08701","40.075","-74.188","FirstEnergy Park"
"Lancaster JetHawks","Colorado Rockies","4500","California League","South","1955","A+","Rockies/JetHawks-Logo.png","#002d62","45116 Valley Central Way, Lancaster, CA 93536","34.703","-118.173","The Hangar"
"Lansing Lugnuts","Toronto Blue Jays","7527","Midwest League","Eastern","1955","A","BlueJays/Lugnuts-Logo.png","#cf4044","505 E Michigan Ave, Lansing, MI 48912","42.734","-84.546","Cooley Law School Stadium"
"Las Vegas Aviators","Oakland Athletics","10000","Pacific Coast League","Pacific Southern","1983","AAA","Athletics/Aviators-Logo.jpg","#ef5122","1650 S Pavilion Center Dr, Las Vegas, NV 89135","36.153","-115.329","Las Vegas Ballpark"
"Lehigh Valley IronPigs","Philadelphia Phillies","10178","International League","North","1993","AAA","Phillies/IronPigs-Logo.png","","1050 Ironpigs Way, Allentown, PA 18109","40.626","-75.453","Coca-Cola Park"
"Lexington Legends","Kansas City Royals","6994","South Atlantic League","Southern","2001","A","Royals/Legends-Logo.png","#00a160","207 Legends Ln, Lexington, KY 40505","38.066","-84.478","Whitaker Bank Ballpark"
"Los Angeles Angels","","45050","American League","AL West","1961","MLB","Angels/Angles-Logo.png","#ba0021","2000 E Gene Autry Way, Anaheim, CA 92806","33.800","-117.883","Angel Stadium"
"Los Angeles Dodgers","","56000","National League","NL West","1883","MLB","Dodgers/Dodgers-Logo.png","#00599d","1000 Vin Scully Ave, Los Angeles, CA 90012","34.074","-118.240","Dodger Stadium"
"Louisville Bats","Cincinnati Reds","13131","International League","West","1982","AAA","Reds/Bats-Logo.jpg","","401 E Main St, Louisville, KY 40202","38.256","-85.744","Louisville Slugger Field"
"Lowell Spinners","Boston Red Sox","5030","New York?Penn League","Stedler","1996","SS","RedSox/Spinners-Logo.jpg","#e41937","450 Aiken St, Lowell, MA 01854","42.654","-71.318","Edward A. LeLacheur Park"
"Lynchburg Hillcats","Cleveland Indians","3811","Carolina League","Northern","1963","A+","Indians/Hillcats-Logo.png","#002d62","3176 Fort Ave, Lynchburg, VA 24501","37.393","-79.166","City Stadium Complex"
"Mahoning Valley Scrappers","Cleveland Indians","6000","New York?Penn League","Pinckney","1999","SS","Indians/Scrappers-Logo.png","#810b32","111 Eastwood Mall Blvd, Niles, OH 44446","41.219","-80.755","Eastwood Field"
"Memphis Redbirds","St. Louis Cardinals","10000","Pacific Coast League","American Northern","1998","AAA","Cardinals/Redbirds-Logo.png","#d31044","200 Union Ave, Memphis, TN 38103","35.143","-90.050","AutoZone Park"
"Miami Marlins","","36742","National League","NL East","1993","MLB","Marlins/Marlins-Logo.png","#00a4e1","501 Marlins Way, Miami, FL 33125","25.778","-80.220","Marlins Park"
"Midland RockHounds","Oakland Athletics","4709","Texas League","South","1972","AA","Athletics/RockHounds-Logo.png","#0e6fab","5514 Champions Drive Midland, Texas","31.987","-102.155","Security Bank Ballpark"
"Milwaukee Brewers","","41900","National League","NL Central","1969","MLB","Brewers/Brewers-Logo.png","#0a234a","1 Brewers Way, Milwaukee, WI 53214","43.028","-87.971","Miller Park"
"Minnesota Twins","","44152","American League","AL Central","1901","MLB","Twins/Twins-Logo.png","#00275c","1 Twins Way, Minneapolis, MN 55403","44.982","-93.278","Target Field"
"Mississippi Braves","Atlanta Braves","8480","Southern League","South","2005","AA","Braves/Mississippi-Logo.png","#c81645","1 Braves Blvd, Pearl, MS 39208","32.274","-90.148","Trustmark Park"
"Missoula PaddleHeads","Arizona Diamondbacks","3500","Pioneer League","North","1987","R","Diamondbacks/PaddleHeads-Logo.jpg","#083f30","700 Cregg Ln, Missoula, MT 59801","46.874","-114.007","Ogren Park at Allegiance Field"
"Modesto Nuts","Seattle Mariners","4000","California League","North","1956","A+","Mariners/Nuts-Logo.png","#a51b34","601 Neece Dr, Modesto, CA 95351","37.622","-121.001","John Thurman Field"
"Montgomery Biscuits","Tampa Bay Rays","7000","Southern League","South","1973","AA","Rays/Biscuits-Logo.png","#00235d","200 Coosa St, Montgomery, AL 36104","32.381","-86.311","Riverwalk Stadium"
"Myrtle Beach Pelicans","Chicago Cubs","6599","Carolina League","Southern","1999","A+","Cubs/Pelicans-Logo.png","#1a2e5a","1251 21st Ave N, Myrtle Beach, SC 29577","33.712","-78.885","TicketReturn.com Field"
"Nashville Sounds","Texas Rangers","10000","Pacific Coast League","American Northern","1978","AAA","Rangers/Sounds-Logo.png","#dd1a32","19 Jr Gilliam Way, Nashville, TN 37219","36.172","-86.785","First Tennessee Park"
"New Hampshire Fisher Cats","Toronto Blue Jays","7500","Eastern League","Eastern","1994","AA","BlueJays/FisherCats-Logo.png","#0a2f5f","1 Line Dr, Manchester, NH 03101","42.981","-71.466","Northeast Delta Dental Stadium"
"New York Mets","","41922","National League","NL East","1962","MLB","Mets/Mets-Logo.png","#072e75","41 Seaver Way, Queens, NY 11368","40.757","-73.846","Citi Field"
"New York Yankees","","54251","American League","AL East","1901","MLB","Yankees/Yankees-Logo.png","#153488","1 E 161 St, The Bronx, NY 10451","40.830","-73.926","Yankee Stadium"
"Norfolk Tides","Baltimore Orioles","11856","International League","South","1961","AAA","Orioles/Tides-Logo.png","#00994c","150 Park Ave, Norfolk, VA 23510","36.843","-76.279","Harbor Park Stadium"
"Northwest Arkansas Naturals","Kansas City Royals","7305","Texas League","North","2008","AA","Royals/Naturals-Logo.png","#373e69","3000 Gene George Blvd, Springdale, AR 72762","36.160","-94.195","Arvest Ballpark"
"Norwich Sea Unicorns","Detroit Tigers","6270","New York?Penn League","Stedler","2010","SS","Tigers/SeaUnicorns-Logo.png","#172849","14 Stott Ave, Norwich, CT 06360","41.574","-72.107","Senator Thomas J Dodd Memorial Stadium"
"Oakland Athletics","","63132","American League","AL West","1901","MLB","Athletics/Athletics-Logo.png","#044b3b","7000 Coliseum Way, Oakland, CA 94621","37.752","-122.201","Oakland Coliseum"
"Ogden Raptors","Los Angeles Dodgers","8262","Pioneer League","South","1977","R","Dodgers/Raptors-Logo.png","#0b838f","2330 Lincoln Ave, Ogden, UT 84401","41.224","-111.975","Lindquist Field"
"Oklahoma City Dodgers","Los Angeles Dodgers","13066","Pacific Coast League","American Southern","1962","AAA","Dodgers/OKC-Logo.jpg","#013378","2 S Mickey Mantle Dr, Oklahoma City, OK 73104","35.465","-97.508","Chickasaw Bricktown Ballpark"
"Omaha Storm Chasers","Kansas City Royals","9023","Pacific Coast League","American Northern","1969","AAA","Royals/StormChasers-Logo.jpg","#090808","12356 Ballpark Way, Papillion, NE 68046","41.151","-96.107","Werner Park"
"Orem Owlz","Los Angeles Angels","5000","Pioneer League","South","2001","R","Angels/Owlz-Logo.png","#18325b","800 W University Pkwy, Orem, UT 84058","40.277","-111.718","UCCU Ballpark"
"Palm Beach Cardinals","St. Louis Cardinals","6871","Florida State League","South","2003","A+","Cardinals/PalmBeach-Logo.png","#c31f4b","4751 Main St, Jupiter, FL 33458","26.890","-80.117","Roger Dean Stadium"
"Pawtucket Red Sox","Boston Red Sox","10031","International League","North","1970","AAA","RedSox/Pawtucket-Logo.jpg","#cf1f30","1 Columbus Ave, Pawtucket, RI 02860","41.873","-71.370","McCoy Stadium"
"Pensacola Blue Wahoos","Minnesota Twins","5038","Southern League","South","2012","AA","Twins/BlueWahoos-Logo.png","#0b376f","351 W Cedar St, Pensacola, FL 32502","30.404","-87.219","Admiral Fetterman Field"
"Peoria Chiefs","St. Louis Cardinals","7500","Midwest League","Western","1983","A","Cardinals/Chiefs-Logo.png","#155dab","730 SW Jefferson Ave, Peoria, IL 61605","40.688","-89.598","Dozer Park"
"Philadelphia Phillies","","43035","National League","NL East","1883","MLB","Phillies/Phillies-Logo.png","#043b73","1 Citizens Bank Way, Philadelphia, PA 19148","39.906","-75.166","Citizens Bank Park"
